Distance,Speed,Throttle,Brake,Time
656.0,329.55393949927355,100.0,0.0,4496.714630353718
658.0,329.69029152462934,100.0,0.0,4496.736446667433
660.0,329.82664354998514,100.0,0.0,4496.758262981147
662.0,329.9629955753409,100.0,0.0,4496.780079294861
664.0,329.9334566500993,100.0,0.0,4496.801970403976
666.0,329.84212761478,100.0,0.0,4496.823889372453
668.0,329.75079857946065,100.0,0.0,4496.84580834093
670.0,329.65946954414136,100.0,0.0,4496.867727309406
672.0,329.56814050882207,100.0,0.0,4496.889646277883
674.0,329.4768326579128,100.0,0.0,4496.911560162101
676.0,329.38580027903566,100.0,0.0,4496.933407933031
678.0,329.29476790015855,100.0,0.0,4496.9552557039615
680.0,329.20373552128143,100.0,0.0,4496.977103474892
682.0,329.11270314240426,100.0,0.0,4496.998951245823
684.0,329.02167076352714,100.0,0.0,4497.020799016754
686.0,329.0,99.79332632828105,0.0,4497.042585562573
688.0,329.0,99.52208126149715,0.0,4497.064352979731
690.0,329.0,99.25083619471324,0.0,4497.086120396888
692.0,329.0,98.97959112792934,0.0,4497.107887814046
694.0,329.0,98.70834606114543,0.0,4497.129655231203
696.0,329.0,98.43710099436153,0.0,4497.151422648361
698.0,329.0,98.16585592757762,0.0,4497.173190065519
700.0,329.0,97.89461086079372,0.0,4497.194957482676
702.0,329.0,97.62336579400981,0.0,4497.216724899834
704.0,329.0,97.35212072722591,0.0,4497.238492316991
706.0,329.0,97.080875660442,0.0,4497.260259734149
708.0,329.0,96.8096305936581,0.0,4497.2820271513065
710.0,329.0,96.53838552687421,0.0,4497.303794568465
712.0,329.0,96.25805055976706,42.4762408541732,4497.326291446707
714.0,328.7708568702041,95.55106652121621,100.0,4497.349244667394
716.0,326.3338841456368,90.77658934655364,100.0,4497.373117053267
718.0,323.8969114210694,86.00211217189104,100.0,4497.39698943914
720.0,321.45993869650204,81.22763499722846,100.0,4497.420861825014
722.0,319.0229659719347,76.45315782256588,100.0,4497.444734210887
724.0,316.5859932473673,71.6786806479033,100.0,4497.468606596761
726.0,314.1318100170903,66.87048493144212,100.0,4497.492647575343
728.0,311.41704103989053,61.55175387407128,100.0,4497.51924123063
730.0,308.70227206269084,56.233022816700434,100.0,4497.5458348859165
732.0,305.98750308549114,50.914291759329586,100.0,4497.572428541203
734.0,303.27273410829144,45.59556070195874,100.0,4497.59902219649
736.0,300.55796513109175,40.27682964458789,100.0,4497.625615851777
738.0,297.84319615389205,34.958098587217044,100.0,4497.652209507064
740.0,295.12842717669236,29.639367529846204,100.0,4497.678803162351
742.0,292.41365819949266,24.320636472475357,100.0,4497.705396817638
744.0,289.6988892222929,19.00190541510451,100.0,4497.731990472925
746.0,286.9841202450932,13.683174357733662,100.0,4497.758584128212
748.0,284.2693512678935,8.364443300362815,100.0,4497.7851777834985
750.0,281.5545822906938,3.045712242991968,100.0,4497.811771438785
752.0,278.49361821939044,0.0,100.0,4497.839324941841
754.0,274.96877297389466,0.0,100.0,4497.868164584759
756.0,271.44392772839893,0.0,100.0,4497.897004227677
758.0,267.9190824829032,0.0,100.0,4497.925843870594
760.0,264.15301751546457,0.0,100.0,4497.956657129418
762.0,260.3344366871138,0.0,100.0,4497.987900063469
764.0,256.515855858763,0.0,100.0,4498.019142997519
766.0,252.69727503041221,0.0,100.0,4498.0503859315695
768.0,248.87869420206144,0.0,100.0,4498.08162886562
770.0,245.06011337371066,0.0,100.0,4498.11287179967
772.0,241.2415325453599,0.0,100.0,4498.14411473372
774.0,237.42295171700908,0.0,100.0,4498.17535766777
776.0,233.48165320336298,0.0,100.0,4498.209112313336
778.0,229.46746304711175,0.0,100.0,4498.2443588610495
780.0,225.45327289086052,0.0,100.0,4498.279605408763
782.0,221.4390827346093,0.0,100.0,4498.314851956477
784.0,217.2520572985606,0.0,100.0,4498.351616082256
786.0,212.91889729653863,0.0,100.0,4498.389663340811
788.0,208.58573729451666,0.0,100.0,4498.427710599365
790.0,204.2525772924947,0.0,100.0,4498.46575785792
792.0,199.91941729047272,0.0,100.0,4498.503805116475
794.0,195.53861872333715,0.0,100.0,4498.542270664868
796.0,193.61086981939627,0.0,100.0,4498.581193973676
798.0,192.0275648802879,0.0,100.0,4498.620167633716
800.0,190.44425994117955,0.0,100.0,4498.659141293756
802.0,188.86095500207117,0.0,100.0,4498.698114953795
804.0,187.24439157813217,0.0,100.0,4498.7379072842305
806.0,185.61140194172899,0.0,100.0,4498.778103952204
808.0,183.9784123053258,0.0,100.0,4498.818300620177
810.0,182.34542266892265,0.0,100.0,4498.85849728815
812.0,180.7174663947955,1.0993145187467037,100.0,4498.899979435562
814.0,179.0908604484377,2.493548187053396,100.0,4498.941806445611
816.0,177.46425450207988,3.8877818553600885,100.0,4498.983633455661
818.0,175.79117599949348,5.321849143291317,100.0,4499.026655474298
820.0,174.10816315217428,6.76443158385061,100.0,4499.069932947516
822.0,172.4251503048551,8.207014024409903,100.0,4499.113210420732
824.0,170.7399551966313,9.651466974316012,92.70525101384163,4499.156544009229
826.0,169.03973306306716,11.108800231656707,35.17893822407734,4499.2002640069495
828.0,167.57281977724733,12.939796490055842,0.0,4499.24408720891
830.0,166.47317815986457,15.359008048297923,0.0,4499.288072873605
832.0,165.373302189981,17.778735182041814,0.0,4499.332067912401
834.0,164.26392247383072,20.219370557572425,0.0,4499.376443101047
836.0,163.15454275768045,22.660005933103037,0.0,4499.420818289693
838.0,162.51843948968622,23.0,0.0,4499.465524840825
840.0,161.95717253090933,23.0,0.0,4499.5104261975275
842.0,161.3935744737743,23.0,0.0,4499.555514042098
844.0,160.82997641663928,23.0,0.0,4499.600601886669
846.0,160.26637835950424,23.0,0.0,4499.64568973124
848.0,160.0983656540371,27.42645443167003,0.0,4499.690607756969
850.0,160.28468047454433,35.81062135449451,0.0,4499.735323313891
852.0,160.47099529505155,44.194788277318985,0.0,4499.780038870813
854.0,160.65731011555874,52.57895520014346,0.0,4499.824754427735
856.0,160.84362493606596,60.96312212296794,0.0,4499.869469984656
858.0,161.13294270039304,68.48745656810786,0.0,4499.914090277354
860.0,161.947653403951,71.47472914782037,0.0,4499.957541514877
862.0,162.75454060071147,74.43331553594211,0.0,4500.000575498704
864.0,163.56142779747196,77.39190192406386,0.0,4500.043609482532
866.0,164.36831499423243,80.3504883121856,0.0,4500.0866434663585
868.0,165.1752021909929,83.30907470030733,0.0,4500.129677450186
870.0,165.98208938775338,86.2676610884291,0.0,4500.172711434014
872.0,166.78897658451388,89.22624747655082,0.0,4500.2157454178405
874.0,168.70567943641728,91.89519937379697,0.0,4500.2573231899805
876.0,171.01542025684327,94.46157806315918,0.0,4500.298385249011
878.0,173.32516107726926,97.02795675252139,0.0,4500.33944730804
880.0,175.60776733125277,99.56418592361419,0.0,4500.380026974777
882.0,176.7261903478039,97.82142895658825,0.0,4500.419678565651
884.0,177.60390908276923,95.18827275169232,0.0,4500.459175908724
886.0,178.48162781773453,92.55511654679641,0.0,4500.498673251798
888.0,179.35934655269983,89.92196034190049,0.0,4500.538170594872
890.0,180.23706528766513,87.28880413700456,0.0,4500.577667937945
892.0,181.10246896272355,84.69259311182935,0.0,4500.616611103323
894.0,181.96159771404712,82.11520685785862,0.0,4500.6552718971325
896.0,182.8207264653707,79.5378206038879,0.0,4500.693932690942
898.0,183.67985521669428,76.96043434991718,0.0,4500.732593484751
900.0,184.4279196367709,76.17116785470836,0.0,4500.770963499659
902.0,185.11001425371813,76.44400570148724,0.0,4500.809160798209
904.0,185.79210887066534,76.71684354826614,0.0,4500.8473580967575
906.0,186.47420348761256,76.98968139504503,0.0,4500.885555395306
908.0,187.15629810455977,77.26251924182391,0.0,4500.923752693855
910.0,187.83648158625144,77.53459263450058,0.0,4500.96184296883
912.0,188.5119095132844,77.80476380531375,0.0,4500.999666932744
